state_residence,district_residence,Date,new_case,negative_case,Failed_test,Total_test
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-03-11,1,19,0,20
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-03-12,0,8,0,8
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-03-13,0,13,0,13
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-03-14,1,15,0,16
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2021-03-15,0,4,0,4
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-03-11,0,19,0,19
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-03-12,0,9,0,9
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-03-13,0,5,0,5
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-03-14,0,14,0,14
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2021-03-15,0,9,0,9
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-03-11,4,281,0,285
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-03-12,2,405,2,409
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-03-13,0,375,2,377
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-03-14,0,45,1,46
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMANS,2021-03-15,0,388,0,388
ANDHRA PRADESH,ANANTAPUR,2021-03-11,11,4501,0,4512
ANDHRA PRADESH,ANANTAPUR,2021-03-12,10,3527,2,3539
ANDHRA PRADESH,ANANTAPUR,2021-03-13,6,3245,1,3252
ANDHRA PRADESH,ANANTAPUR,2021-03-14,19,2526,0,2545
ANDHRA PRADESH,ANANTAPUR,2021-03-15,30,2171,1,2202
ANDHRA PRADESH,CHITTOOR,2021-03-11,85,3694,0,3779
ANDHRA PRADESH,CHITTOOR,2021-03-12,43,4026,0,4069
ANDHRA PRADESH,CHITTOOR,2021-03-13,92,3124,1,3217
ANDHRA PRADESH,CHITTOOR,2021-03-14,47,2231,0,2278
ANDHRA PRADESH,CHITTOOR,2021-03-15,58,4183,1,4242
ANDHRA PRADESH,EAST GODAVARI,2021-03-11,51,2295,0,2346
ANDHRA PRADESH,EAST GODAVARI,2021-03-12,25,962,0,987
ANDHRA PRADESH,EAST GODAVARI,2021-03-13,36,715,0,751
ANDHRA PRADESH,EAST GODAVARI,2021-03-14,30,6201,0,6231
ANDHRA PRADESH,EAST GODAVARI,2021-03-15,32,2961,1,2994
ANDHRA PRADESH,GUNTUR,2021-03-11,20,2880,0,2900
ANDHRA PRADESH,GUNTUR,2021-03-12,15,1043,1,1059
ANDHRA PRADESH,GUNTUR,2021-03-13,35,2136,0,2171
ANDHRA PRADESH,GUNTUR,2021-03-14,36,1720,1,1757
ANDHRA PRADESH,GUNTUR,2021-03-15,44,1529,0,1573
ANDHRA PRADESH,KRISHNA,2021-03-11,11,3836,0,3847
ANDHRA PRADESH,KRISHNA,2021-03-12,40,1802,1,1843
ANDHRA PRADESH,KRISHNA,2021-03-13,31,1842,0,1873
ANDHRA PRADESH,KRISHNA,2021-03-14,19,5532,0,5551
ANDHRA PRADESH,KRISHNA,2021-03-15,41,5987,0,6028
ANDHRA PRADESH,KURNOOL,2021-03-11,4,4268,0,4272
ANDHRA PRADESH,KURNOOL,2021-03-12,1,2072,0,2073
ANDHRA PRADESH,KURNOOL,2021-03-13,16,3452,0,3468
ANDHRA PRADESH,KURNOOL,2021-03-14,5,537,0,542
ANDHRA PRADESH,KURNOOL,2021-03-15,21,2579,1,2601
ANDHRA PRADESH,PRAKASAM,2021-03-11,2,6861,0,6863
ANDHRA PRADESH,PRAKASAM,2021-03-12,8,2803,0,2811
ANDHRA PRADESH,PRAKASAM,2021-03-13,14,4261,0,4275
ANDHRA PRADESH,PRAKASAM,2021-03-14,11,3607,0,3618
ANDHRA PRADESH,PRAKASAM,2021-03-15,8,2962,0,2970
ANDHRA PRADESH,SPSR NELLORE,2021-03-11,4,2215,0,2219
ANDHRA PRADESH,SPSR NELLORE,2021-03-12,8,4630,0,4638
ANDHRA PRADESH,SPSR NELLORE,2021-03-13,7,2693,0,2700
ANDHRA PRADESH,SPSR NELLORE,2021-03-14,9,2105,0,2114
ANDHRA PRADESH,SPSR NELLORE,2021-03-15,11,2247,0,2258
ANDHRA PRADESH,SRIKAKULAM,2021-03-11,10,3944,0,3954
ANDHRA PRADESH,SRIKAKULAM,2021-03-12,5,2321,0,2326
ANDHRA PRADESH,SRIKAKULAM,2021-03-13,9,3300,0,3309
ANDHRA PRADESH,SRIKAKULAM,2021-03-14,8,3121,0,3129
ANDHRA PRADESH,SRIKAKULAM,2021-03-15,7,9897,0,9904
ANDHRA PRADESH,VISAKHAPATANAM,2021-03-11,26,741,0,767
ANDHRA PRADESH,VISAKHAPATANAM,2021-03-12,41,2329,1,2371
ANDHRA PRADESH,VISAKHAPATANAM,2021-03-13,59,3723,0,3782
ANDHRA PRADESH,VISAKHAPATANAM,2021-03-14,24,609,0,633
ANDHRA PRADESH,VISAKHAPATANAM,2021-03-15,59,2304,0,2363
ANDHRA PRADESH,VIZIANAGARAM,2021-03-11,2,1501,0,1503
